State,Items Description,All,NIC-01,NIC-08,NIC-10,NIC-11,NIC-12,NIC-13,NIC-14,NIC-15,NIC-16,NIC-17,NIC-18,NIC-19,NIC-20,NIC-21,NIC-22,NIC-23,NIC-24,NIC-25,NIC-26,NIC-27,NIC-28,NIC-29,NIC-30,NIC-31,NIC-32,NIC-33,NIC-38,NIC-58,Other
Assam,10. Interest Paid,89510,NA,NA,21202,1251,2802,573,4,NA,973,2032,174,15128,9783,241,3601,21300,2806,1232,7,444,110,16,NA,NA,NA,424,30,54,5323
Assam,11. Rent Received for Fixed Assets,659,NA,NA,341,0,0,0,0,NA,0,159,4,0,26,0,27,6,0,9,0,7,0,18,NA,NA,NA,0,1,0,61
Assam,12. Interest Received,20912,NA,NA,6028,30,8,81,0,NA,28,18,166,6371,1633,0,1281,4202,113,30,646,80,7,14,NA,NA,NA,10,6,2,158
Assam,13. Gross Value of Plant & Machinary,1588491,NA,NA,257599,32027,4346,3781,0,NA,4363,51936,1443,838655,124133,6207,36606,130367,40436,11012,42,2229,601,72,NA,NA,NA,3763,23,862,37987
Assam,14. Value of Product and By-Product,5753185,NA,NA,1296901,62180,124177,23413,252,NA,47024,159159,4436,2839142,272823,68287,99676,542341,107270,39732,165,38240,5179,662,NA,NA,NA,9610,187,6869,5460
Assam,15. Total Output,6176083,NA,NA,1333307,63149,124682,24123,252,NA,49066,161082,47085,2849881,280134,69748,102426,550863,108950,42498,1759,38696,6712,1105,NA,NA,NA,9928,5156,7119,298363
Assam,16. Fuels Consumed,268554,NA,NA,110059,1988,386,893,3,NA,1245,25596,676,59467,4580,721,4705,36847,10340,2177,64,921,146,22,NA,NA,NA,947,63,218,6488
Assam,17. Materials Consumed,4136964,NA,NA,877603,40702,71429,15926,152,NA,26738,123773,36848,2183935,123122,24309,72958,371061,83888,34867,138,28835,3662,506,NA,NA,NA,6506,469,5492,4047
Assam,18. Total Inputs,5188761,NA,NA,1078467,56910,91485,18133,163,NA,32030,160955,43700,2503230,156485,47288,84944,445961,98515,38936,1003,32965,5232,765,NA,NA,NA,7700,3527,6623,273743
Assam,19. Gross Value Added,987322,NA,NA,254840,6239,33197,5990,89,NA,17036,127,3385,346651,123649,22460,17482,104902,10435,3562,756,5731,1480,340,NA,NA,NA,2228,1629,496,24620
Assam,20. Depreciation,168710,NA,NA,39700,6533,670,520,3,NA,966,9626,1404,44231,6743,1340,5032,25450,18226,2000,109,1112,184,19,NA,NA,NA,578,52,68,4143
Assam,21. Net Value Added,818613,NA,NA,215140,-294,32526,5471,85,NA,16070,-9499,1981,302419,116905,21119,12450,79452,-7792,1562,647,4620,1297,321,NA,NA,NA,1650,1577,429,20477
Assam,22. Net Fixed Capital Formation,30318,NA,NA,25613,-4375,-1207,247,3,NA,-510,34260,-982,11885,-2090,-510,-3425,-11437,-14599,1350,-613,-685,-99,-14,NA,NA,NA,-518,-24,-5,-1945
Assam,23. Gross Fixed Capital Formation,199028,NA,NA,65313,2157,-537,766,6,NA,457,43886,422,56116,4653,830,1607,14013,3627,3350,-504,427,85,5,NA,NA,NA,60,28,63,2197
Assam,24. Addition in Stock of,35139,NA,NA,24943,1326,197,284,-43,NA,324,-8600,-34,14094,4334,1900,-269,-4668,-1714,429,-4,1035,53,-6,NA,NA,NA,-1077,-1,59,2575
Assam,"(a) Materials, Fuels etc.",23749,NA,NA,6546,996,873,331,-20,NA,17,-9650,307,11062,2692,-169,-1835,1487,8031,660,-5,954,-95,-4,NA,NA,NA,-1014,-4,60,2526
Assam,(b) Semi-Finished Goods,-9189,NA,NA,1237,27,5,7,-12,NA,254,539,-431,-10934,646,291,1598,-2352,35,69,0,-229,47,-3,NA,NA,NA,-1,1,0,16
Assam, (c) Finished Goods,20579,NA,NA,17160,303,-681,-54,-11,NA,53,511,90,13966,996,1778,-32,-3803,-9780,-300,1,310,101,1,NA,NA,NA,-62,2,-1,33
Assam,25. Gross Capital Formation,234168,NA,NA,90256,3483,-340,1050,-36,NA,782,35285,389,70210,8988,2730,1338,9345,1914,3780,-508,1463,137,0,NA,NA,NA,-1017,27,122,4772
Assam,26. Income,743312,NA,NA,198557,-1733,29477,4948,81,NA,15004,-12093,1860,293064,107787,20720,9928,61489,-10549,346,1285,4216,1174,309,NA,NA,NA,1194,1303,367,14578
Assam,27. Profit,465580,NA,NA,130121,-6125,25428,1775,48,NA,12595,-30030,-22,195520,87497,15132,4631,31042,-12634,-787,243,1949,475,119,NA,NA,NA,907,1024,27,6645
Bihar,1. Number of Factories (no.),3529,NA,NA,788,50,66,19,6,8,206,36,37,69,48,29,78,1612,72,80,NA,11,29,3,10,7,3,13,NA,9,241
Bihar,2. Factories in Operation (no.),2940,NA,NA,703,49,52,19,5,8,206,35,36,61,46,28,78,1152,72,80,NA,11,29,3,10,7,3,13,NA,9,227
Bihar,3. Fixed Capital,994456,NA,NA,333091,81772,28853,4115,351,2294,3144,8335,5979,271131,4792,3006,8219,132523,14979,5999,NA,351,1819,172,4852,946,268,270,NA,9456,67738
Bihar,4. Physical Working Capital,595204,NA,NA,249467,24078,10043,3741,68,967,5747,4904,597,167461,3603,1575,3528,24833,20478,6726,NA,403,2499,9,550,621,88,118,NA,1185,61916
Bihar,5. Working Capital,349172,NA,NA,43365,26022,6416,-5589,-54,-236,5995,3196,2605,173027,3034,3541,2284,-14351,16833,6056,NA,408,3524,106,-161,962,21,214,NA,5899,66052
Bihar,6. Invested Capital,1589660,NA,NA,582558,105849,38896,7856,420,3261,8891,13238,6577,438592,8395,4580,11747,157356,35458,12725,NA,754,4318,181,5401,1567,356,388,NA,10641,129654
Bihar,7. Gross Value of Addition to Fixed Capital,165834,NA,NA,62225,31799,2709,401,126,120,210,2775,73,10233,1042,467,571,33257,4963,2059,NA,70,90,162,3719,313,0,12,NA,626,7812
Bihar,8. Rent Paid for Fixed Assets,6720,NA,NA,671,466,24,68,3,0,30,62,74,81,59,93,31,1499,67,25,NA,1,50,0,0,16,0,3,NA,56,3341
Bihar,9. Outstanding Loan,327070,NA,NA,175572,11354,55,2388,16,15,4054,3384,163,5037,2725,4406,3028,33274,7847,3731,NA,125,3332,106,239,361,28,359,NA,1632,63841
Bihar,10. Interest Paid,56903,NA,NA,29014,3234,25,145,15,2,310,697,50,3271,420,554,947,4880,3935,614,NA,37,285,1,9,116,5,45,NA,257,8037
Bihar,11. Rent Received for Fixed Assets,357,NA,NA,159,10,2,3,0,0,0,4,7,60,0,0,0,21,0,0,NA,0,1,0,0,0,0,0,NA,7,83
Bihar,12. Interest Received,4689,NA,NA,2157,151,28,3,0,1,9,67,25,387,67,11,13,190,599,35,NA,2,150,0,1,2,0,4,NA,18,772
Bihar,13. Gross Value of Plant & Machinary,1056882,NA,NA,267596,66682,29614,3651,54,961,101,11329,6249,450442,2711,3707,6043,143096,18055,3548,NA,179,422,14,1822,1053,2,22,NA,10637,28893
Bihar,14. Value of Product and By-Product,4825405,NA,NA,1019578,101158,325111,12342,1057,7601,13747,24920,7068,2793319,44540,15261,13758,203500,174672,31756,NA,2229,11119,32,1192,2780,243,1137,NA,11672,5612
Bihar,15. Total Output,5875914,NA,NA,1102242,149008,325130,13071,1110,7685,15126,25251,14742,3114389,45252,15398,14188,216287,178871,35457,NA,2526,14130,39,1271,2938,284,1749,NA,29972,549799
Bihar,16. Fuels Consumed,124419,NA,NA,29736,4038,824,926,4,152,1375,2858,393,2953,613,550,1092,37302,30863,1947,NA,72,170,8,53,232,5,139,NA,461,7650
Bihar,17. Materials Consumed,4350534,NA,NA,890993,59575,36755,8698,874,5878,8982,16172,9248,2982074,37655,9400,10811,75375,137339,27528,NA,1945,8628,12,551,2195,157,1200,NA,13903,4586
Bihar,18. Total Inputs,5195428,NA,NA,996092,112722,40419,10095,917,6193,12127,20628,12277,3041405,40402,11748,12412,131697,169766,31730,NA,2185,12019,23,671,2551,170,1477,NA,16552,509150
Bihar,19. Gross Value Added,680486,NA,NA,106150,36286,284711,2976,193,1492,2999,4623,2465,72984,4850,3650,1776,84590,9105,3727,NA,341,2111,16,600,387,114,272,NA,13420,40649
Bihar,20. Depreciation,98107,NA,NA,21885,5118,2867,312,12,115,519,1065,951,21502,1028,673,1108,29750,1765,557,NA,36,179,17,64,104,23,69,NA,1507,6881
Bihar,21. Net Value Added,582379,NA,NA,84265,31167,281844,2664,181,1377,2480,3558,1514,51482,3822,2977,668,54839,7341,3171,NA,305,1931,0,537,283,91,203,NA,11913,33767
Bihar,22. Net Fixed Capital Formation,36684,NA,NA,26911,28291,-6542,207,114,6,-317,947,-1316,-11426,-642,-543,-667,-7462,5188,1310,NA,34,-108,129,3655,52,-23,-57,NA,-1020,-36
Bihar,23. Gross Fixed Capital Formation,134790,NA,NA,48796,33409,-3676,518,126,120,202,2012,-365,10076,386,130,441,22288,6952,1867,NA,70,72,145,3719,156,0,12,NA,487,6845
Bihar,24. Addition in Stock of,-50772,NA,NA,-6461,4081,1322,160,-8,192,831,408,-296,-47694,-65,-329,1191,5191,2738,-178,NA,-413,-79,-18,-365,21,5,42,NA,-194,-10850
Bihar,"(a) Materials, Fuels etc.",-12694,NA,NA,-8344,1469,2622,523,1,81,941,332,-298,1344,-115,-188,1187,-103,55,-302,NA,-439,-219,-11,-347,73,5,-28,NA,-64,-10868
Bihar,(b) Semi-Finished Goods,-6138,NA,NA,-4053,-710,36,22,0,92,0,-39,0,-4241,26,91,0,2454,5,-78,NA,0,164,-7,-4,37,0,67,NA,0,0
Bihar, (c) Finished Goods,-31940,NA,NA,5936,3322,-1336,-385,-9,19,-110,115,2,-44797,24,-232,4,2840,2678,202,NA,26,-24,0,-14,-89,0,3,NA,-130,18
Bihar,25. Gross Capital Formation,84019,NA,NA,42336,37490,-2354,678,118,312,1033,2420,-661,-37618,321,-199,1633,27480,9690,1688,NA,-344,-6,127,3354,176,5,54,NA,292,-4006
Bihar,26. Income,523801,NA,NA,56896,27628,281825,2457,163,1376,2149,2870,1423,48576,3410,2341,-297,48671,3937,2567,NA,269,1748,-1,528,154,86,158,NA,11624,23243
Bihar,27. Profit,363744,NA,NA,14496,19364,276513,-467,80,-200,890,1008,-433,18584,1800,803,-940,11955,2298,1168,NA,149,801,-6,-681,19,62,47,NA,9696,6737
Chandigarh,1. Number of Factories (no.),276,NA,NA,15,4,NA,NA,NA,NA,4,7,7,NA,NA,NA,8,5,29,59,4,20,19,8,19,7,NA,NA,NA,NA,63
Chandigarh,2. Factories in Operation (no.),229,NA,NA,14,4,NA,NA,NA,NA,4,5,7,NA,NA,NA,6,5,16,46,4,20,18,8,19,4,NA,NA,NA,NA,52
Chandigarh,3. Fixed Capital,82623,NA,NA,1408,927,NA,NA,NA,NA,6,1413,270,NA,NA,NA,156,1333,14703,4250,1769,785,22046,645,2546,18,NA,NA,NA,NA,30347
Chandigarh,4. Physical Working Capital,53181,NA,NA,2048,2868,NA,NA,NA,NA,98,610,306,NA,NA,NA,205,2244,4805,1308,1737,1086,9254,264,3152,197,NA,NA,NA,NA,22999
