State,Items Description,All,NIC-01,NIC-08,NIC-10,NIC-11,NIC-12,NIC-13,NIC-14,NIC-15,NIC-16,NIC-17,NIC-18,NIC-19,NIC-20,NIC-21,NIC-22,NIC-23,NIC-24,NIC-25,NIC-26,NIC-27,NIC-28,NIC-29,NIC-30,NIC-31,NIC-32,NIC-33,NIC-38,NIC-58,Other
Chhattishgarh,24. Addition in Stock of,-67253,623,-9292,553646,63166,4000,10639,218,27,-227,363,-304,10604,-736,28,1396,31329,-117537,2123,NA,1310,1864,485,1044,-14,252,159,-157,NA,8039
Chhattishgarh,"(a) Materials, Fuels etc.",-125249,473,-18550,933814,86651,11038,14469,261,19,-320,-146,-166,-1120,45,17,2000,28306,-149677,7321,NA,-1027,1222,439,20,-35,393,159,-176,NA,4004
Chhattishgarh,(b) Semi-Finished Goods,13781,0,2861,82719,10996,4889,4777,77,0,-25,-27,-46,130,187,0,-511,7983,7421,-6047,NA,-18,971,26,-498,0,0,0,0,NA,1350
Chhattishgarh, (c) Finished Goods,44215,150,6397,16961,2827,203,568,6,8,118,536,-92,11594,-968,11,-93,-4960,24719,849,NA,2355,-329,20,1522,21,-141,0,19,NA,2685
Chhattishgarh,25. Gross Capital Formation,1339751,821,21347,65758,8169,4685,4209,70,56,-238,997,167,13065,824,29,2381,319366,704874,4763,NA,11560,4965,516,1971,14,253,193,57,NA,243926
Chhattishgarh,26. Income,1447152,6732,47128,13677,2667,51,160,24,56,622,932,4506,7904,7941,84,5902,195594,1036950,17058,NA,4072,7412,666,8196,267,22,2590,29,NA,78606
Chhattishgarh,27. Profit,805046,5452,19044,30638,5494,254,728,30,36,173,-555,1530,5770,2754,41,3144,153658,542000,2288,NA,1961,-2500,276,2737,83,-13,2036,1,NA,59852
 Dadra & N Haveli,1. Number of Factories (no.),1411,NA,NA,6,NA,NA,301,7,NA,9,111,6,37,172,21,350,46,112,50,15,89,44,NA,4,5,19,NA,NA,NA,7
 Dadra & N Haveli,2. Factories in Operation (no.),965,NA,NA,6,NA,NA,222,6,NA,9,62,3,37,94,15,247,42,51,44,15,78,19,NA,0,4,6,NA,NA,NA,5
 Dadra & N Haveli,3. Fixed Capital,2386629,NA,NA,1839,NA,NA,1626747,12500,NA,1036,57934,287,56269,129640,44688,163985,68905,53424,12222,2091,112472,27809,NA,0,1570,8541,NA,NA,NA,4668
 Dadra & N Haveli,4. Physical Working Capital,1853867,NA,NA,498,NA,NA,1040878,10338,NA,1018,28998,207,107481,155558,31001,97213,35704,93223,17064,2291,183827,40622,NA,0,1271,5034,NA,NA,NA,1641
 Dadra & N Haveli,5. Working Capital,1877638,NA,NA,2046,NA,NA,694921,25745,NA,664,36681,389,-151415,875833,29859,174522,27290,52400,-17450,2785,102376,30572,NA,0,-609,-10374,NA,NA,NA,1402
 Dadra & N Haveli,6. Invested Capital,4240496,NA,NA,2337,NA,NA,2667625,22839,NA,2054,86932,494,163750,285198,75689,261198,104609,146648,29286,4383,296299,68431,NA,0,2841,13575,NA,NA,NA,6307
 Dadra & N Haveli,7. Gross Value of Addition to Fixed Capital,343609,NA,NA,105,NA,NA,223123,136,NA,140,9654,34,6875,24422,23454,24981,2173,6017,582,124,16922,1529,NA,0,386,1830,NA,NA,NA,1125
 Dadra & N Haveli,8. Rent Paid for Fixed Assets,12310,NA,NA,4,NA,NA,3238,124,NA,11,350,51,1390,1193,65,3809,435,161,21,46,1114,94,NA,0,89,51,NA,NA,NA,64
 Dadra & N Haveli,9. Outstanding Loan,1564963,NA,NA,1029,NA,NA,1181775,15625,NA,253,21671,35,329,37048,637,129429,19997,36725,5599,336,30960,64028,NA,0,1894,11617,NA,NA,NA,5976
 Dadra & N Haveli,10. Interest Paid,409282,NA,NA,112,NA,NA,297998,12960,NA,112,5584,51,6439,10093,138,21086,3579,14365,1224,223,24172,9290,NA,0,82,1602,NA,NA,NA,170
 Dadra & N Haveli,11. Rent Received for Fixed Assets,445,NA,NA,18,NA,NA,87,6,NA,1,211,0,0,59,0,26,13,1,0,0,23,0,NA,0,1,0,NA,NA,NA,0
 Dadra & N Haveli,12. Interest Received,31590,NA,NA,2,NA,NA,3597,2,NA,2,123,2,26,13442,926,752,63,6548,142,15,5468,398,NA,0,3,44,NA,NA,NA,36
 Dadra & N Haveli,13. Gross Value of Plant & Machinary,2750301,NA,NA,1155,NA,NA,1919938,7360,NA,5,64495,0,54644,151904,36724,236408,40092,66791,9184,914,121690,20884,NA,0,2217,12663,NA,NA,NA,3232
 Dadra & N Haveli,14. Value of Product and By-Product,12401591,NA,NA,2677,NA,NA,5527566,149463,NA,3914,177525,2222,1384644,1476559,150268,705864,109229,957612,53259,12233,1562054,77744,NA,0,15305,26532,NA,NA,NA,6919
 Dadra & N Haveli,15. Total Output,12889718,NA,NA,4053,NA,NA,5634680,149652,NA,3983,183393,2459,1411678,1566385,153668,785184,155891,1030984,56556,14582,1601707,81040,NA,0,16358,29330,NA,NA,NA,8135
 Dadra & N Haveli,16. Fuels Consumed,333337,NA,NA,288,NA,NA,210013,262,NA,70,3780,120,3415,34926,2769,27112,2176,19634,2136,130,24509,719,NA,0,268,702,NA,NA,NA,305
 Dadra & N Haveli,17. Materials Consumed,10429870,NA,NA,1671,NA,NA,4608571,117124,NA,2723,126970,1677,1227871,1254509,75622,577895,83225,798611,43569,9715,1411351,57398,NA,0,11312,15573,NA,NA,NA,4485
 Dadra & N Haveli,18. Total Inputs,11342949,NA,NA,2543,NA,NA,4977168,125989,NA,3209,146728,1842,1249648,1361971,91238,664633,142472,906948,50132,12385,1503041,62387,NA,0,12303,21605,NA,NA,NA,6707
 Dadra & N Haveli,19. Gross Value Added,1546769,NA,NA,1510,NA,NA,657512,23663,NA,774,36665,617,162030,204414,62430,120551,13419,124036,6424,2197,98666,18653,NA,0,4055,7725,NA,NA,NA,1428
 Dadra & N Haveli,20. Depreciation,305623,NA,NA,213,NA,NA,213208,1138,NA,120,5983,47,4249,15641,4646,31703,4513,6507,1114,236,12078,2469,NA,0,258,1098,NA,NA,NA,403
 Dadra & N Haveli,21. Net Value Added,1241146,NA,NA,1297,NA,NA,444304,22525,NA,654,30682,570,157780,188773,57784,88848,8907,117528,5310,1961,86587,16185,NA,0,3797,6627,NA,NA,NA,1026
 Dadra & N Haveli,22. Net Fixed Capital Formation,-161277,NA,NA,-116,NA,NA,-146182,-1001,NA,-33,2402,-14,1410,-5051,8436,-12819,-4765,-6682,-792,-116,4314,-1610,NA,0,97,716,NA,NA,NA,529
 Dadra & N Haveli,23. Gross Fixed Capital Formation,144346,NA,NA,97,NA,NA,67026,136,NA,88,8385,34,5660,10589,13081,18884,-252,-175,322,120,16392,859,NA,0,355,1814,NA,NA,NA,932
 Dadra & N Haveli,24. Addition in Stock of,200748,NA,NA,95,NA,NA,279692,-22477,NA,109,2276,88,-33791,-61213,-955,-21784,10360,-3469,2985,-190,43932,5119,NA,0,-77,-239,NA,NA,NA,287
 Dadra & N Haveli,"(a) Materials, Fuels etc.",-103139,NA,NA,-8,NA,NA,-31416,-2344,NA,56,186,98,-35302,-29983,-4479,-13327,2341,4992,844,172,5235,-389,NA,0,30,238,NA,NA,NA,-84
 Dadra & N Haveli,(b) Semi-Finished Goods,328958,NA,NA,8,NA,NA,323192,-17445,NA,52,305,-10,-1155,-2438,-1167,-5748,70,-3605,649,-128,30657,5716,NA,0,29,-184,NA,NA,NA,160
 Dadra & N Haveli, (c) Finished Goods,-25071,NA,NA,95,NA,NA,-12084,-2688,NA,1,1785,0,2666,-28792,4691,-2709,7949,-4856,1492,-234,8040,-208,NA,0,-136,-293,NA,NA,NA,211
 Dadra & N Haveli,25. Gross Capital Formation,345094,NA,NA,192,NA,NA,346718,-22340,NA,196,10661,122,-28131,-50624,12127,-2900,10107,-3644,3307,-70,60323,5978,NA,0,279,1574,NA,NA,NA,1219
 Dadra & N Haveli,26. Income,851589,NA,NA,1200,NA,NA,146752,9449,NA,534,25082,470,149977,190987,58507,64732,4968,109551,4208,1707,66791,7199,NA,0,3630,5018,NA,NA,NA,826
 Dadra & N Haveli,27. Profit,565225,NA,NA,739,NA,NA,43454,4635,NA,170,12179,390,135235,155780,50037,21912,93,95902,411,587,37856,2084,NA,0,3102,1259,NA,NA,NA,-601
Daman & Diu,1. Number of Factories (no.),1874,NA,NA,26,19,NA,95,36,NA,NA,110,14,3,113,61,975,11,107,38,28,146,26,6,NA,7,46,NA,NA,NA,7
Daman & Diu,2. Factories in Operation (no.),1113,NA,NA,24,14,NA,36,26,NA,NA,4,1,3,67,50,637,11,51,23,27,79,15,6,NA,4,31,NA,NA,NA,5
Daman & Diu,3. Fixed Capital,949099,NA,NA,8739,9191,NA,79867,23377,NA,NA,13733,5359,258,228681,46874,278294,1308,17236,14777,21897,163209,8859,3937,NA,2294,16382,NA,NA,NA,4827
Daman & Diu,4. Physical Working Capital,482815,NA,NA,7685,7682,NA,32650,23697,NA,NA,2325,482,1697,72265,31499,127431,1848,4002,11846,13926,103257,9075,2162,NA,2066,25324,NA,NA,NA,1895
Daman & Diu,5. Working Capital,806402,NA,NA,7538,15066,NA,67982,32218,NA,NA,17236,136,1139,109209,65950,234110,1445,50502,13846,14568,119115,14950,6037,NA,864,44577,NA,NA,NA,-10087
Daman & Diu,6. Invested Capital,1431914,NA,NA,16424,16873,NA,112518,47074,NA,NA,16058,5841,1956,300946,78373,405725,3157,21238,26623,35824,266465,17935,6098,NA,4359,41706,NA,NA,NA,6722
Daman & Diu,7. Gross Value of Addition to Fixed Capital,161208,NA,NA,1434,2633,NA,7362,5033,NA,NA,3049,1823,32,15638,10338,66560,63,7733,3096,5133,18932,3597,996,NA,656,6741,NA,NA,NA,358
Daman & Diu,8. Rent Paid for Fixed Assets,11588,NA,NA,561,12,NA,351,122,NA,NA,69,84,3,493,249,1911,2,447,25,5539,78,376,169,NA,160,934,NA,NA,NA,4
Daman & Diu,9. Outstanding Loan,440414,NA,NA,6867,5319,NA,22058,5435,NA,NA,17427,1431,0,118682,7324,148238,971,15820,15020,12544,55281,875,247,NA,11,1910,NA,NA,NA,4955
Daman & Diu,10. Interest Paid,70360,NA,NA,1299,636,NA,3171,1484,NA,NA,1080,490,7,11929,1239,32080,78,2198,1234,3217,9363,192,2,NA,21,294,NA,NA,NA,345
Daman & Diu,11. Rent Received for Fixed Assets,3267,NA,NA,10,2,NA,77,10,NA,NA,0,0,0,5,0,2711,0,5,0,5,429,4,0,NA,1,7,NA,NA,NA,0
Daman & Diu,12. Interest Received,10001,NA,NA,21,1204,NA,592,91,NA,NA,17,8,0,1713,84,2486,5,648,81,260,1660,500,274,NA,87,265,NA,NA,NA,4
Daman & Diu,13. Gross Value of Plant & Machinary,859155,NA,NA,8048,16657,NA,49340,10464,NA,NA,18776,12031,0,231563,46125,242303,1371,6430,4622,4274,158403,8871,5120,NA,4913,26196,NA,NA,NA,3648
Daman & Diu,14. Value of Product and By-Product,3289434,NA,NA,45846,62070,NA,225049,124619,NA,NA,29650,12019,18385,558956,176934,1017172,6631,68646,79022,46747,550714,48194,16487,NA,18623,166064,NA,NA,NA,17606
Daman & Diu,15. Total Output,3472979,NA,NA,46141,62701,NA,232899,130590,NA,NA,30088,12025,18385,570041,188885,1060355,8515,70895,82724,89619,570592,49739,17081,NA,22150,191638,NA,NA,NA,17914
Daman & Diu,16. Fuels Consumed,90572,NA,NA,636,1751,NA,8713,1174,NA,NA,735,228,9,15970,6549,37818,777,2057,554,1874,7843,514,288,NA,430,2132,NA,NA,NA,518
Daman & Diu,17. Materials Consumed,2426014,NA,NA,31456,35064,NA,182070,56245,NA,NA,20472,5279,16930,410428,91105,793400,4737,52138,73447,38352,421653,32726,10891,NA,12335,123599,NA,NA,NA,13689
Daman & Diu,18. Total Inputs,2811751,NA,NA,36647,49570,NA,198743,80504,NA,NA,24162,6225,17087,455377,114946,903027,6126,57253,77971,65218,475855,37597,12376,NA,16810,160686,NA,NA,NA,15572
Daman & Diu,19. Gross Value Added,661228,NA,NA,9494,13131,NA,34156,50086,NA,NA,5926,5800,1298,114664,73939,157328,2389,13642,4753,24401,94737,12142,4705,NA,5340,30952,NA,NA,NA,2342
Daman & Diu,20. Depreciation,90313,NA,NA,1029,1399,NA,4166,1752,NA,NA,1217,1911,46,12504,6007,31895,488,705,666,4291,16107,1128,463,NA,489,3641,NA,NA,NA,409
Daman & Diu,21. Net Value Added,570915,NA,NA,8465,11732,NA,29990,48334,NA,NA,4709,3890,1252,102160,67932,125434,1901,12938,4087,20110,78630,11014,4241,NA,4850,27311,NA,NA,NA,1936
Daman & Diu,22. Net Fixed Capital Formation,54208,NA,NA,380,1213,NA,2633,2984,NA,NA,915,-107,-14,-2311,3936,30377,-425,8503,2435,755,-1108,1398,482,NA,137,2107,NA,NA,NA,-81
Daman & Diu,23. Gross Fixed Capital Formation,144522,NA,NA,1409,2613,NA,6799,4736,NA,NA,2132,1803,32,10193,9944,62271,63,9208,3100,5046,14999,2526,945,NA,627,5748,NA,NA,NA,327
Daman & Diu,24. Addition in Stock of,17006,NA,NA,-30,1238,NA,4814,8113,NA,NA,-237,105,154,-17387,3152,1684,259,-21876,7965,2150,25142,971,672,NA,-893,949,NA,NA,NA,60
Daman & Diu,"(a) Materials, Fuels etc.",11701,NA,NA,-30,25,NA,299,3323,NA,NA,-155,148,128,-7931,3186,-5481,220,81,6,603,18163,933,38,NA,-1012,-1008,NA,NA,NA,165
Daman & Diu,(b) Semi-Finished Goods,-27149,NA,NA,-1,-12,NA,697,2985,NA,NA,-17,-43,156,-4778,-192,3883,16,-21739,206,196,-9828,191,48,NA,-2,1192,NA,NA,NA,-109
Daman & Diu, (c) Finished Goods,32454,NA,NA,1,1225,NA,3818,1805,NA,NA,-65,0,-130,-4678,158,3282,23,-218,7753,1351,16807,-153,586,NA,121,765,NA,NA,NA,4
Daman & Diu,25. Gross Capital Formation,161529,NA,NA,1379,3852,NA,11613,12847,NA,NA,1895,1909,187,-7193,13096,63955,322,-12667,11066,7196,40141,3497,1617,NA,-266,6697,NA,NA,NA,386
Daman & Diu,26. Income,502235,NA,NA,6636,12290,NA,27138,46829,NA,NA,3577,3324,1243,91455,66528,96640,1826,10945,2909,11620,71278,10950,4343,NA,4758,26355,NA,NA,NA,1590
Daman & Diu,27. Profit,297439,NA,NA,3563,9988,NA,17198,33247,NA,NA,570,2034,1187,76549,40645,32485,574,4791,504,4797,45094,5665,1567,NA,3579,12880,NA,NA,NA,522
Delhi,1. Number of Factories (no.),3868,NA,NA,161,4,24,134,556,218,24,68,326,4,75,52,253,12,201,354,110,317,213,189,31,33,89,12,NA,12,396
Delhi,2. Factories in Operation (no.),2978,NA,NA,147,4,24,108,359,170,23,68,302,4,65,34,217,12,116,284,93,226,145,131,22,21,80,12,NA,12,301
Delhi,3. Fixed Capital,713774,NA,NA,107874,751,5796,14657,76629,15742,3491,5081,78249,905,29552,24138,20266,2338,2933,25196,12029,32637,34493,17805,1055,1277,8599,6680,NA,5506,180096
Delhi,4. Physical Working Capital,1256594,NA,NA,542418,107,9467,8507,103586,25435,2709,4471,54013,616,137534,7109,17976,1127,5167,45784,15992,56501,19403,12727,720,2457,9618,12271,NA,458,160419
Delhi,5. Working Capital,1223397,NA,NA,463395,129,15588,6495,72412,27229,8735,73260,76547,2256,62449,-4139,34785,2584,12868,39262,22921,94932,75653,32073,555,1575,28831,2373,NA,29342,41285
Delhi,6. Invested Capital,1970368,NA,NA,650292,859,15263,23164,180215,41177,6200,9552,132262,1521,167086,31247,38242,3465,8100,70981,28021,89139,53896,30532,1774,3734,18218,18951,NA,5963,340516
Delhi,7. Gross Value of Addition to Fixed Capital,131338,NA,NA,27044,128,2553,5725,12785,2831,164,1038,22779,135,9840,807,4114,321,535,3524,2854,5958,8472,1874,331,325,1434,927,NA,1138,13702
Delhi,8. Rent Paid for Fixed Assets,40418,NA,NA,6821,124,946,1209,4266,871,214,180,4463,17,669,207,241,96,84,576,568,1716,593,382,9,217,1099,396,NA,59,14395
Delhi,9. Outstanding Loan,1088675,NA,NA,334408,260,3442,9140,46193,16752,1408,3981,73739,221,25777,14339,24524,4369,12235,42167,15581,53093,36072,19463,1484,3882,3583,16024,NA,1820,324718
Delhi,10. Interest Paid,153260,NA,NA,47283,23,3092,1423,12387,3601,228,590,16009,8,9713,2341,5691,235,1262,4133,2380,7033,2227,2439,155,314,626,4526,NA,225,25314
Delhi,11. Rent Received for Fixed Assets,13284,NA,NA,351,2,5,282,2095,44,11,43,1113,5,90,49,147,8,80,575,76,652,3107,208,3,220,6,8,NA,1513,2592
Delhi,12. Interest Received,21285,NA,NA,6091,2,337,139,2161,326,35,271,2334,7,280,404,141,22,69,1802,378,379,1414,129,37,47,1202,652,NA,260,2368
Delhi,13. Gross Value of Plant & Machinary,366402,NA,NA,58089,1055,5941,11875,15732,4753,149,2497,79007,371,21010,14127,17520,1139,2316,8729,2578,19606,5660,7291,73,411,6872,2076,NA,3010,74514
Delhi,14. Value of Product and By-Product,3962410,NA,NA,1733084,5768,205827,65867,446530,129156,7032,22258,179482,4891,185517,26308,129221,8923,43885,221504,79383,235955,79431,55451,5010,8500,63210,258,NA,1728,18233
Delhi,15. Total Output,6348457,NA,NA,2223009,5778,206171,84861,479064,140339,17706,32887,282220,4987,260479,44595,130893,9038,48454,242541,108266,254889,97285,56873,6015,10969,86510,26011,NA,134816,1353802
Delhi,16. Fuels Consumed,108723,NA,NA,28921,398,1171,2083,9445,6801,216,989,8890,125,4824,1811,8456,791,3851,6454,1202,5372,1725,2394,468,245,1420,926,NA,872,8874
Delhi,17. Materials Consumed,3161567,NA,NA,1579593,1607,89390,47744,262282,95955,5423,17852,138118,3956,139337,14564,102175,3649,33622,183440,60038,188081,52070,37911,3606,5569,35121,2208,NA,1735,56523
Delhi,18. Total Inputs,5473458,NA,NA,2114467,2564,112098,69658,402601,121260,14221,29024,197078,4296,218761,28891,118026,6296,39472,212814,81986,219222,72865,45384,4643,8139,61921,16045,NA,22347,1249379
Delhi,19. Gross Value Added,874999,NA,NA,108542,3214,94073,15203,76463,19079,3485,3863,85142,691,41718,15704,12867,2742,8982,29727,26280,35667,24420,11489,1372,2830,24589,9966,NA,112469,104423
Delhi,20. Depreciation,79536,NA,NA,12587,215,1306,1964,7036,2003,271,727,14442,122,2930,1852,2460,461,421,2985,1545,3755,2693,2516,171,332,1490,979,NA,875,13398
Delhi,21. Net Value Added,795462,NA,NA,95955,2998,92768,13239,69427,17075,3214,3135,70699,570,38789,13852,10407,2281,8561,26741,24735,31911,21727,8974,1200,2498,23099,8987,NA,111594,91024
Delhi,22. Net Fixed Capital Formation,16975,NA,NA,5143,-128,97,3625,4343,543,-160,-220,7921,16,6326,-1135,1161,-142,139,-689,753,1908,5340,-748,141,-38,-161,-51,NA,-16277,-731
Delhi,23. Gross Fixed Capital Formation,96512,NA,NA,17730,87,1403,5589,11379,2546,111,508,22363,138,9256,716,3621,319,559,2296,2298,5663,8032,1768,312,294,1329,928,NA,-15402,12668
Delhi,24. Addition in Stock of,158946,NA,NA,77549,-118,-6135,701,22773,2444,299,-1864,9234,297,15296,-1073,-538,-43,231,-4537,710,4917,1699,1135,11,-386,-356,8,NA,53,36642
Delhi,"(a) Materials, Fuels etc.",118590,NA,NA,80569,-119,-6153,144,10581,-184,405,-1676,1763,301,5276,-49,355,-173,15,-5650,1030,1060,2458,558,25,-237,-126,-44,NA,53,28409
Delhi,(b) Semi-Finished Goods,9381,NA,NA,-329,0,-25,58,4361,1073,-94,-64,-2373,51,4275,-591,-330,80,161,967,-244,3306,-1130,592,-18,21,-183,87,NA,0,-268
Delhi, (c) Finished Goods,30975,NA,NA,-2691,1,43,499,7831,1555,-12,-124,9844,-55,5745,-433,-563,50,55,146,-76,551,371,-15,4,-170,-47,-35,NA,0,8501
Delhi,25. Gross Capital Formation,255458,NA,NA,95279,-31,-4731,6290,34151,4989,411,-1356,31598,435,24551,-357,3083,276,790,-2241,3007,10580,9731,2903,322,-93,973,936,NA,-15349,49310
Delhi,26. Income,636353,NA,NA,48293,2855,89071,11028,57030,12973,2817,2679,53674,557,28778,11757,4763,1980,7364,24409,22240,24194,23427,6490,1077,2233,22582,4725,NA,113083,56275
Delhi,27. Profit,286902,NA,NA,266,1884,82883,2032,5233,5048,897,-650,19101,298,21785,3624,-2461,1236,5489,8396,11153,-2701,13470,-1646,164,383,15308,-2080,NA,89425,8366
Goa,1. Number of Factories (no.),635,NA,NA,52,37,NA,8,NA,NA,NA,29,19,4,49,62,62,31,55,40,31,39,20,13,12,10,11,NA,NA,NA,52
Goa,2. Factories in Operation (no.),611,NA,NA,51,37,NA,8,NA,NA,NA,29,19,4,42,61,61,27,55,38,31,39,20,13,12,10,11,NA,NA,NA,44
Goa,3. Fixed Capital,887143,NA,NA,100989,14705,NA,31925,NA,NA,NA,7004,13128,18568,83455,284024,42465,12382,74162,14775,21602,59676,15069,5596,14220,647,20697,NA,NA,NA,52057
Goa,4. Physical Working Capital,631387,NA,NA,16178,20351,NA,13819,NA,NA,NA,2192,1632,29709,93085,242208,22781,4017,40584,6312,41478,39408,15480,3138,10232,52,14379,NA,NA,NA,14351
Goa,5. Working Capital,622659,NA,NA,12089,29805,NA,7060,NA,NA,NA,182,-1653,6267,31948,448680,-166249,-1035,47762,6723,114085,41130,11287,8278,-8100,587,28497,NA,NA,NA,5315
Goa,6. Invested Capital,1518530,NA,NA,117167,35056,NA,45744,NA,NA,NA,9196,14760,48277,176539,526232,65246,16399,114746,21087,63080,99084,30549,8734,24452,699,35076,NA,NA,NA,66408
Goa,7. Gross Value of Addition to Fixed Capital,184593,NA,NA,7188,2208,NA,20979,NA,NA,NA,543,2314,131,13667,93656,9787,1463,1869,3950,4352,10776,1947,571,1152,21,5314,NA,NA,NA,2704
Goa,8. Rent Paid for Fixed Assets,13544,NA,NA,338,80,NA,5,NA,NA,NA,14,298,10,2464,4431,217,213,46,159,614,2810,271,44,49,0,793,NA,NA,NA,688
Goa,9. Outstanding Loan,273526,NA,NA,8471,13837,NA,2998,NA,NA,NA,3615,9294,0,8706,33527,5859,1455,7331,5423,15940,18695,3203,407,12250,12,14698,NA,NA,NA,107805
Goa,10. Interest Paid,49306,NA,NA,1811,629,NA,339,NA,NA,NA,606,1716,3361,17763,2322,1630,923,3774,792,4054,1879,1975,202,1316,4,1826,NA,NA,NA,2382
Goa,11. Rent Received for Fixed Assets,882,NA,NA,94,61,NA,0,NA,NA,NA,64,0,0,296,67,66,7,7,0,10,12,0,30,6,0,0,NA,NA,NA,162
Goa,12. Interest Received,13964,NA,NA,257,22,NA,0,NA,NA,NA,22,37,582,3284,3682,392,27,671,161,1053,513,182,1280,439,11,626,NA,NA,NA,723
Goa,13. Gross Value of Plant & Machinary,983040,NA,NA,104771,21031,NA,36864,NA,NA,NA,5780,18726,28890,106770,231919,79283,22740,92972,11188,23095,73602,10973,5613,11979,208,24026,NA,NA,NA,72609
Goa,14. Value of Product and By-Product,3998548,NA,NA,265218,44144,NA,161310,NA,NA,NA,24301,25995,102021,688419,1143643,333852,29289,390760,43087,199273,366341,44592,39084,21744,2141,48233,NA,NA,NA,25100
Goa,15. Total Output,4654089,NA,NA,268965,52773,NA,162542,NA,NA,NA,24961,33645,102189,873829,1370463,338564,29972,393193,44875,248756,413972,60574,39922,24010,2339,53713,NA,NA,NA,114831
Goa,16. Fuels Consumed,123089,NA,NA,7711,1291,NA,1879,NA,NA,NA,637,773,126,46790,17922,14446,4925,17258,789,1520,3096,487,287,391,39,1437,NA,NA,NA,1285
Goa,17. Materials Consumed,2344050,NA,NA,160298,23158,NA,44619,NA,NA,NA,18280,19085,85719,445037,409708,194935,14328,327627,23697,160359,287391,36487,28978,10874,1736,31495,NA,NA,NA,20238
Goa,18. Total Inputs,3179811,NA,NA,178723,35074,NA,56129,NA,NA,NA,20714,22726,88324,687854,689956,222527,21589,357908,30387,197081,337136,48926,32207,17498,1886,39576,NA,NA,NA,93593
Goa,19. Gross Value Added,1474278,NA,NA,90242,17699,NA,106413,NA,NA,NA,4247,10919,13865,185975,680507,116037,8383,35285,14488,51675,76836,11648,7715,6512,453,14137,NA,NA,NA,21238
Goa,20. Depreciation,106063,NA,NA,11519,3042,NA,4255,NA,NA,NA,864,4412,999,7392,35561,6456,1458,5147,2290,3328,8485,2509,478,2408,48,2187,NA,NA,NA,3228
Goa,21. Net Value Added,1368214,NA,NA,78723,14657,NA,102158,NA,NA,NA,3383,6508,12867,178583,644946,109582,6924,30139,12198,48347,68351,9139,7237,4104,405,11951,NA,NA,NA,18012
Goa,22. Net Fixed Capital Formation,34651,NA,NA,-5122,-912,NA,11072,NA,NA,NA,-446,-2577,-846,2563,24487,2288,-136,-3941,1207,403,7260,-901,245,-1987,-12,2742,NA,NA,NA,-737
Goa,23. Gross Fixed Capital Formation,140714,NA,NA,6397,2130,NA,15328,NA,NA,NA,418,1835,153,9955,60047,8743,1323,1206,3496,3731,15746,1607,722,421,36,4929,NA,NA,NA,2491
Goa,24. Addition in Stock of,82448,NA,NA,2113,830,NA,4183,NA,NA,NA,-418,743,-5727,-336,50823,496,825,4605,1499,9115,555,-819,470,1883,-62,4773,NA,NA,NA,6900
Goa,"(a) Materials, Fuels etc.",46938,NA,NA,1450,647,NA,1637,NA,NA,NA,-304,95,-3543,7901,23309,-571,558,3233,922,4882,-2861,-456,69,645,-51,3210,NA,NA,NA,6168
Goa,(b) Semi-Finished Goods,19771,NA,NA,438,-795,NA,244,NA,NA,NA,-54,382,-5,-3816,19731,-135,70,-260,450,1253,402,-57,382,1238,0,254,NA,NA,NA,50
Goa, (c) Finished Goods,15739,NA,NA,225,978,NA,2302,NA,NA,NA,-60,266,-2179,-4421,7783,1202,197,1632,127,2980,3014,-306,19,0,-11,1309,NA,NA,NA,682
Goa,25. Gross Capital Formation,223162,NA,NA,8510,2960,NA,19511,NA,NA,NA,0,2578,-5574,9620,110870,9239,2148,5810,4996,12845,16300,788,1192,2303,-27,9701,NA,NA,NA,9391
Goa,26. Income,1320210,NA,NA,76924,14030,NA,101814,NA,NA,NA,2850,4531,10078,161936,641942,108192,5822,26998,11407,44743,64187,7075,8301,3185,412,9958,NA,NA,NA,15826
Goa,27. Profit,1063276,NA,NA,62978,8950,NA,97224,NA,NA,NA,621,-1352,7365,138985,542058,93237,2760,18766,6966,25250,48116,40,2019,94,269,807,NA,NA,NA,8123
Gujrat,1. Number of Factories (no.),23433,557,95,1847,153,201,2713,325,14,495,823,254,143,2241,724,1518,2562,1615,1843,179,619,2459,195,84,119,456,133,104,7,956
Gujrat,2. Factories in Operation (no.),17884,516,73,1441,112,156,1785,185,11,401,653,190,122,1835,542,1198,1852,1317,1471,168,491,1917,183,77,102,310,81,104,7,584
Gujrat,3. Fixed Capital,43770158,98768,81021,1264499,61434,22615,2307925,40514,4558,71843,476283,207705,13143231,7374729,1614393,904008,2613989,4982603,851612,206653,517509,1176673,445808,663275,15756,246004,19516,122849,9529,4224854
Gujrat,4. Physical Working Capital,16885736,395864,49809,1220793,21990,54922,877619,28087,5639,46279,149860,52173,3882062,2147120,589690,338935,638315,1430555,469064,102156,337005,992044,89514,196116,17112,2268154,18971,111381,15505,339001
Gujrat,5. Working Capital,6325276,209933,31486,1122961,-87859,69641,687200,30133,5161,45477,-3961,151173,-3057995,2900197,450792,584769,379966,-1192795,423176,165816,292554,1145930,-428844,-49382,18363,2689258,21408,75970,13891,-369143
Gujrat,6. Invested Capital,60655894,494632,130830,2485292,83424,77538,3185544,68601,10197,118122,626144,259878,17025293,9521849,2204083,1242944,3252304,6413158,1320676,308810,854515,2168717,535323,859391,32868,2514158,38487,234230,25034,4563855
