Sector,Type of establishment,01 - Activities relating to agriculture other than crop production & plantation,02 - Livestock,03 - Forestry and Logging,04 - Fishing and aqua culture,Sub-total : Agricultural Activities,05 - Mining and quarrying,06 - Manufacturing ,"07 - Electricity, gas, steam and air conditioning supply","08 - Water supply, sewerage, waste management and remediation activities",09 - Construction,"10- Whole sale trade, retail trade & repair of motor vehicles & motor cycles",11 - Whole sale trade ( not covered in item-10 above ),12 - Retail trade ( not covered in item-10 above ),13 - Transportation and storage ,14 - Accomodation and and Food service activities,15 - Information & communication ,16 - Financial and insurance activities ,17 - Real estate activities,"18 - Professional, scientific & technical activities ",19 - Administrative and support service activities,20 - Education,21 - Human health & social work activities ,"22 - Arts entertainment, sports & amusement and recreation ",23 - Other service activities not else where classified ,Sub-total : Non-Agricultural Activities,Total
Rural,Without Hired Workers,442819,9630550,542477,338319,10954165,31532,4384006,7765,46729,350081,219050,267340,6566905,1270620,764832,58319,253545,83134,106299,216189,132501,232563,65735,1552540,16609685,27563850
Rural,With Atleast One  Hired Worker,148358,898069,35803,48814,1131044,31278,1058864,24433,43590,148539,112980,104120,1174976,308319,346170,51908,131041,12031,68623,114958,1312551,275970,56070,724439,6100860,7231904
Rural,Total,591177,10528619,578280,387133,12085209,62810,5442870,32198,90319,498620,332030,371460,7741881,1578939,1111002,110227,384586,95165,174922,331147,1445052,508533,121805,2276979,22710545,34795754
Urban,Without Hired Workers,31225,738186,16313,89393,875117,9327,2835061,8005,49388,311806,285852,232887,5438839,1086182,697913,109275,173673,271573,188297,182390,224186,178057,63287,1179039,13525037,14400154
Urban,With Atleast One  Hired Worker,19077,123521,7874,20775,171247,13039,2051891,21138,36941,163122,402633,342161,2883767,336747,635558,124766,210862,73534,200340,202740,368716,296428,57403,706418,9128204,9299451
Urban,Total,50302,861707,24187,110168,1046364,22366,4886952,29143,86329,474928,688485,575048,8322606,1422929,1333471,234041,384535,345107,388637,385130,592902,474485,120690,1885457,22653241,23699605
Combined,Without Hired Workers,474044,10368736,558790,427712,11829282,40859,7219067,15770,96117,661887,504902,500227,12005744,2356802,1462745,167594,427218,354707,294596,398579,356687,410620,129022,2731579,30134722,41964004
Combined,With Atleast One  Hired Worker,167435,1021590,43677,69589,1302291,44317,3110755,45571,80531,311661,515613,446281,4058743,645066,981728,176674,341903,85565,268963,317698,1681267,572398,113473,1430857,15229064,16531355
Combined,Total,641479,11390326,602467,497301,13131573,85176,10329822,61341,176648,973548,1020515,946508,16064487,3001868,2444473,344268,769121,440272,563559,716277,2037954,983018,242495,4162436,45363786,58495359
