State_UT,Year,"Agriculture, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Primary,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,Secondary,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration,Other services,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.)
Andaman & Nicobar Islands,2011-12,59736.99301,26564.66046,13672.78475,4043.848308,15455.69949,2867.168317,62604.16133,6333.782923,15924.13755,53695.09916,75953.01963,33936.69182,31581.20328,2355.488538,46482.01329,NA,14799.88145,6654.088885,2143.075823,18357.31275,24.865,4502.789372,12774.45279,32303.74734,74782.81952,64942.0088,265221.7336,403778.9145,4416,10328,397866.9145,3860,103074
Andaman & Nicobar Islands,2012-13,61238.18426,27265.40943,14179.14201,3731.405821,16062.227,3161.278822,64399.46308,6371.530651,18486.5791,56388.32402,81246.43377,38820.49784,36438.19209,2382.305749,49650.11951,NA,15649.51638,7144.188442,2449.840858,19671.01044,40.81727309,4694.746119,11097.99487,33160.17321,77949.31221,66882.30124,277560.3989,423206.2957,5163.143443,12781.43538,415588.0038,3950,105212
Andaman & Nicobar Islands,2013-14,65852.95908,30195.36816,15106.06459,4360.711618,16190.81471,8341.875658,74194.83473,6675.547725,18876.35052,61559.77747,87111.67571,45056.99424,42647.49839,2409.495857,52287.59564,NA,17069.19741,7324.101311,2635.22676,19914.41907,39.13157407,5305.519519,11448.19829,34701.06269,77079.99667,68529.31133,289103.1589,450409.6693,9795.453957,10042.39084,450162.7324,4030,111703
Andaman & Nicobar Islands,2014-15,68627.89075,31599.15003,15548.18844,4415.790725,17064.76155,14674.45,83302.34076,6494.622784,20926.10242,63828.41559,91249.14079,48340.80617,45900.90135,2439.904817,58860.06264,NA,17856.07375,7410.675859,7130.523498,20185.01147,33.7408448,6244.037219,12309.56867,36218.71848,84380.29832,71307.26303,311416.7173,485968.1989,9731.111623,11771.39685,483927.9136,4120,117458
Andhra Pradesh,2011-12,9400805,5204052,2758776,250314,1187663,1416194,10816999,5070622,1076517,3702600,9849739,2673500,2322600,350900,3251479,264279,1824800,95100,4500,501900,20700,540200,1425608,2833805,1393752,2730376,14308520,34975258,4243900,1279000,37940158,492750,76997
Andhra Pradesh,2012-13,9783109,5256943,2924660,246911,1354595,1428290,11211399,4018820,734540,3557072,8310432,2955400,2580300,375100,3546157,289703,2055000,86000,10100,505500,15400,584454,1563462,3242590,1446788,2825180,15579577,35101408,4315500,1354006.926,38062901.07,495660,76792
Andhra Pradesh,2013-14,10835268,6062373,2972129,249137,1551629,1387985,12223253,3857458,981461,3707561,8546480,3314900,2882600,432300,3847235,310521,2204100,53100,4500,559800,16400,698814,1651530,3412971,1531813,3030322,16788771,37558504,4480700,1327729.756,40711474.24,498570,81656
Andhra Pradesh,2014-15,11259968,6138257,3118532,241146,1762033,1519655,12779623,4164888,1101243,3969649,9235780,3635300,3191600,443700,4345557,367422,2403600,80400,12700,670800,16000,794635,1817409,3652147,1859641,3362223,18672277,40687680,4897700,1411261.935,44174118.06,501510,88082
Andhra Pradesh,2015-16,12175319,6001025,3491079,235649,2447566,1689493,13864812,4608551,1222658,4338148,10169357,4035900,3495300,540600,4801410,361364,2670700,91700,20700,728800,15800,912346,1961023,3999243,2084677,3865491,20747744,44781913,5390600,1159103.954,49013409.05,504460,97160
Andhra Pradesh,2016-17,13883329,6552800,3916400,230029,3184100,1907528,15790857,5086300,1375832,4681270,11143402,4423100,3749500,673600,5293334,348716,2982000,97000,22000,778000,16200,1049418,2108100,4414800,2310089,4305763,22855186,49789445,6046100,1133400,54702145,507430,107802
Arunachal Pradesh,2011-12,455505,255815,29657,165510,4523,23022,478527,12900,69131,104529,186560,59892,56921,2971,23420,30,12382,0,0,78,0,10930,20884,38261,135418,142509,420384,1085471,41341,20542,1106270,14000,79019
Arunachal Pradesh,2012-13,472794,281052,23953,163051,4738,32615,505409,14037,70426,100177,184640,46755,44029,2726,25073,34,12375,0,0,82,0,12582,21639,39147,139106,155066,426786,1116835,40644,27562,1129917,14280,79126
Arunachal Pradesh,2013-14,491427,295704,31123,160038,4562,37071,528498,18285,77083,110945,206313,60536,57861,2675,29158,43,14081,0,0,86,0,14948,22758,40330,156987,161856,471625,1206436,54249,25844,1234841,14570,84752
Arunachal Pradesh,2014-15,513597,312069,38040,157753,5735,31950,545547,23228,105408,126742,255378,48891,46059,2832,30253,51,13393,0,0,93,0,16716,24101,41495,197462,178131,520333,1321258,58907,26085,1354080,14870,91061
Arunachal Pradesh,2015-16,477074,275949,39258,156118,5749,58785,535859,34299,113445,131897,279641,48500,45739,2761,34331,54,16339,0,0,97,0,17841,25668,38653,200552,196704,544408,1359908,63964,27540,1396332,15160,92106
Assam,2011-12,2848113,2061487,159289,231388,395949,1464989,4313102,1540255,191883,1188747,2920885,2045676,1961211,84465,810091,158334,356262,43626,0,36400,6594,208875,427077,1112543,821723,1077923,6295033,13529020,1203476,415005,14317491,314410,45538
Assam,2012-13,3314074,2496905,172234,231855,413080,1349018,4663092,1426544,198124,1183219,2807887,2127460,2041474,85986,867559,177728,392293,43715,237,36968,6750,209868,448132,1119995,857488,1077970,6498604,13969583,1247593,482938,14734238,318480,46264
Assam,2013-14,3209159,2372688,162088,232953,441430,1251079,4460238,1673668,215835,1351276,3240779,2262227,2174187,88040,963007,199736,412390,21745,8436,31965,7276,281459,472252,1105795,840311,1249518,6893110,14594127,1318035,459622,15452540,322600,47900
Assam,2014-15,3226643,2373106,168351,234186,451000,1267685,4494328,1725925,243753,1493811,3463489,2574025,2478459,95566,1026705,215650,433682,3846,22401,30530,8806,311790,497116,1123047,1114171,1416693,7751757,15709574,1451179,489869,16670884,326780,51016
Assam,2015-16,3351716,2474086,170209,235302,472119,1294087,4645803,1912063,285753,1684278,3882094,2838308,2734765,103543,1141352,239371,466821,4290,24995,34066,9731,362078,523022,1132014,1174578,1578773,8388047,16915944,1539995,496465,17959474,331010,54257
Bihar,2011-12,6206655,4260778,1202821,418682,324374,19858,6226513,1466570,365887,2701685,4534142,4390442,4110861,279581,1754480,275142,840472,4895,3079,89270,7400,534222,883932,2802336,1358743,2219262,13409195,24169850,1716948,1172402,24714396,1050570,23525
Bihar,2012-13,6803952,4749271,1252513,425336,376833,21633,6825585,971402,401732,2560746,3933881,4672876,4394474,278402,2037224,334639,996239,2383,5446,104325,7858,586335,958003,2868648,1334968,2529747,14401466,25160933,1958839,1434692,25685080,1067200,24068
Bihar,2013-14,5951631,3710714,1400799,433006,407112,138585,6090217,1889284,412824,2726064,5028173,4568275,4277450,290824,2347317,396524,1137320,1458,3845,120221,7138,680810,1027313,2981896,1275241,2747801,14947842,26066232,2263772,1365022,26964982,1084080,24874
Bihar,2014-15,5971458,3542583,1537112,439923,451840,62856,6034314,1901006,550781,2748360,5200146,6406611,6091195,315415,2583288,395857,1267586,1796,10964,134314,8566,764205,1077187,3092782,1608989,3466877,18235733,29470193,2679293,1672853,30476634,1101240,27675
Bihar,2015-16,5914496,3360112,1629769,447266,477350,68751,5983247,2364988,634102,2899110,5898199,7408732,7066672,342059,2824092,395192,1412467,1716,10475,149984,8186,846072,1129482,3213945,1545002,3427871,19549123,31430570,3267216,2044269,32653517,1118670,29190
Chandigarh,2011-12,12615,1205,10884,291,235,230,12845,101724,23897,113825,239446,614134,558189,55945,93714,838,34945,0,2195,20460,711,34565,285574,392976,127626,106809,1620833,1873124,27002,23337,1876789,10640,176390
Chandigarh,2012-13,12132,1190,10581,313,48,197,12329,108123,24434,105186,237743,683073,625747,57326,101658,929,40171,0,4342,22062,698,33456,318434,412320,141795,114943,1772223,2022295,31309,27105,2026499,10800,187639
Chandigarh,2013-14,12363,1141,10777,337,108,154,12517,124380,23927,113589,261896,740598,681860,58738,108439,1180,40422,0,3740,24563,737,37797,321675,460838,140362,125750,1897662,2172075,38738,21466,2189347,10960,199758
Chandigarh,2014-15,12502,1118,10908,362,114,143,12645,135127,25052,114643,274822,830616,766280,64336,128810,914,48283,0,9225,29447,610,40331,341113,503832,147241,129539,2081151,2368618,43191,19764,2392045,11120,215112
Chandigarh,2015-16,12335,1122,10719,379,115,140,12475,147366,26891,119114,293371,935273,862831,72442,139198,938,56499,0,9474,30241,626,41420,376247,559393,156958,138010,2305079,2610925,46508,19514,2637919,11280,233858
Chhatisgarh,2011-12,2685950,1798258,226704,426205,234783,1970259,4656209,2435032,709991,1901330,5046353,932617,847597,85020,583708,121509,275736,0,2217,3756,10189,170301,537699,1755211,549383,781803,5140421,14842983,1704500,740100,15807383,257850,61305
Chhatisgarh,2012-13,2850360,1923736,237979,449230,239415,1923176,4773536,2660179,955984,1787106,5403268,1021682,938352,83330,650790,133946,304025,0,3998,4142,11087,193592,597241,1741686,562938,801651,5375988,15552792,1922144,881286,16593650,262010,63332
Chhatisgarh,2013-14,2930967,1986080,249536,428448,266903,2072375,5003342,3588922,1047311,1760222,6396455,1129497,1032614,96883,726990,139290,332124,0,3021,4557,12696,235303,618887,1895155,661283,788795,5820607,17220404,1928223,925729,18222898,266240,68445
Chhatisgarh,2014-15,3010401,2040506,248185,427452,294258,2113041,5123442,4065674,1167621,1851175,7084470,1282528,1181127,101401,796455,135941,362204,0,8444,4990,14810,270066,675796,1969011,671086,905423,6300299,18508211,2241943,1147853,19602301,270530,72459
Chhatisgarh,2015-16,3038667,2050750,245571,421736,320610,2027310,5065977,4443783,1299486,1971130,7714399,1412901,1320406,92495,890159,141903,397185,0,8632,5469,17028,319941,740195,2096091,744778,1018616,6902739,19683115,2653081,1435024,20901172,274900,76032
Chhatisgarh,2016-17,3217003,2198871,258761,412592,346779,2074193,5291196,4777067,1394311,2091535,8262913,1511804,1404466,107338,991589,142260,436683,0,9329,6009,19165,378144,785411,2230717,880365,1186288,7586174,21140283,2935022,1682105,22393200,279330,80168
Delhi,2011-12,285471,65772,217867,1007,826,772879,1058350,1890728,410538,1666852,3968117,4212068,3806351,405718,3929455,190731,664297,546,98961,2368549,21247,585124,5388295,7248036,1957156,2558685,25293696,30320163,4442090,385589,34376664,169750,202513
Delhi,2012-13,222388,59709,161035,874,771,699057,921445,2224419,676895,1631439,4532753,4569446,4153115,416331,4330167,207113,685246,569,170445,2620571,22608,623615,5913960,7514915,1662655,2656329,26647472,32101671,4980914,428775,36653809,173000,211872
Delhi,2013-14,199538,46206,151777,796,760,919949,1119487,2315186,805878,1680482,4801546,4971722,4547482,424240,4602256,240199,658156,499,135236,2822029,24322,721815,6226900,8027163,1604585,2740075,28172701,34093733,5477571,399518,39171787,176310,222176
Delhi,2014-15,187767,32618,153677,719,753,923303,1111070,2452498,823318,1656381,4932196,5087436,4623870,463566,5217753,254541,674728,539,394932,3061517,25795,805701,6668652,9301071,1636761,3036561,30948233,36991499,5598440,297947,42291992,179690,235361
Delhi,2015-16,225989,47841,176561,795,793,1157339,1383328,3151066,949163,1599656,5699884,5403666,4890212,513453,5545616,254538,667709,561,410648,3313305,31841,867014,7003808,9888912,1701629,3229458,32773089,39856301,6543263,377900,46021663,183140,251292
Delhi,2016-17,228911,48412,178990,796,713,1239378,1468289,3857622,1006701,1562491,6426814,5453595,4914837,538757,5943519,264869,666450,587,493103,3548637,35114,934760,7410028,11178354,1761405,3526659,35273559,43168662,7112032,459006,49821688,186640,266940
Goa,2011-12,204298,102417,23531,11797,66554,643618,847915,1629346,95883,135801,1861030,259615,231790,27825,155964,12158,34683,42442,9731,29654,192,27105,172930,268681,250476,123955,1231620,3940566,373700,77600,4236666,14650,289192
Goa,2012-13,195849,102909,22396,11949,58595,205839,401688,1389382,112589,129211,1631182,238038,210631,27406,133878,12876,32015,20554,17009,23755,234,27435,201719,286457,259032,130229,1249352,3282222,390000,87200,3585022,14750,243052
Goa,2013-14,222419,109744,24832,11522,76320,3191,225610,1016189,143930,143137,1303255,241585,213815,27771,120516,12583,30044,11076,14694,19055,266,32798,200864,307994,276361,142460,1289781,2818646,393600,55400,3156846,14850,212582
Goa,2014-15,218876,106196,23222,11703,77754,3615,222490,1069516,176413,142770,1388699,307125,276911,30214,167172,13365,29125,14957,42844,29678,298,36905,213621,340483,285323,149751,1463475,3074664,437700,51300,3461064,14950,231509
Goa,2015-16,223279,104980,32893,10525,74881,4398,227678,1171667,219661,146758,1538085,360307,327144,33163,125545,14196,28227,16725,14698,20365,334,30999,227188,378319,294882,158980,1545221,3310984,488600,47600,3751984,15050.6734,249290
Gujrat,2011-12,10736422,7950972,1850549,611318,323584,1850611,12587033,15681931,2190546,4469267,22341743,6646396,6646396,NA,3253230,328792,NA,NA,NA,2126306,36202,761929,2942743,3481417,1917276,2022268,20263330,55192107,7700384,1331884,61560607,609060,101075
Gujrat,2012-13,9255884,6301794,1929944,698234,325912,2295376,11551260,19338449,2421859,4612284,26372592,7862424,7862424,NA,3537497,346418,NA,NA,NA,2339398,37246,814436,3392892,3678626,2046868,2258344,22776651,60700503,9028314,1463795,68265021,617130,110617
Gujrat,2013-14,11713736,8650200,2098122,608903,356512,1928116,13641852,19838758,2539562,5004328,27382647,8098297,8098297,NA,3655799,357047,NA,NA,NA,2303149,40971,954632,3768414,3997015,2118907,2486217,24124649,65149149,9849890,1570652,73428387,625300,117429
Gujrat,2014-15,11657931,8407995,2216596,609714,423626,1976319,13634250,21326664,2869705,5106096,29302465,9264452,9264452,NA,4040561,436916,NA,NA,NA,2487123,49203,1067319,4145255,4327946,2228213,2657234,26663660,69600374,11238725,1682169,79156930,633590,124934
Gujrat,2015-16,11509274,8046451,2367325,654306,441192,2085016,13594290,23779231,3113630,5458417,32351277,9959285,9959285,NA,4448482,481918,NA,NA,NA,2711461,54368,1200734,4688283,4805066,2417611,2928466,29247193,75192760,13036921,1798238,86431443,641990,134631
Haryana,2011-12,6453886,4088737,1889817,389490,85843,11882,6465768,5328609,344604,2975966,8649179,3310742,3191526,119216,1727689,268949,1004452,0,0,139222,11955,303112,1165659,4092800,729814,1265812,12292516,27407463,3321210,974821,29753852,255600,116408
Haryana,2012-13,6326499,3856332,2002661,377216,90289,9097,6335596,6349760,337507,2761498,9448764,3607907,3486175,121732,1874377,318532,1087092,0,0,150068,12828,305858,1304010,4643552,764028,1384253,13578127,29362488,3777892,1083427,32056952,259220,123667
Haryana,2013-14,6502514,3915654,2133604,367745,85510,27666,6530180,6765323,291719,3068674,10125716,3798889,3675088,123801,2046999,324588,1175328,0,0,161377,12478,373228,1432685,5433987,768053,1444671,14925284,31581180,4005885,907133,34679932,262900,131913
Haryana,2014-15,6377952,3647847,2281985,358057,90064,24525,6402477,6987402,303996,3065537,10356936,4281158,4136689,144469,2299178,367115,1314484,0,0,179524,11881,426174,1598103,5776004,856924,1653068,16464434,33223848,4330527,890788,36663587,266620,137513
Haryana,2015-16,6562812,3690776,2422786,348941,100309,47711,6610523,7684061,281379,3184051,11149490,4849364,4679445,169918,2535880,392291,1435206,NA,NA,195302,11886,501195,1688282,6451796,907663,1827247,18260231,36020244,4835207,890857,39964594,270400,147798
Haryana,2016-17,6982663,3982540,2533356,339782,126985,93290,7075953,8191141,292394,3340819,11824353,5287784,5098075,189709,2796928,420928,1562186,NA,NA,212495,11865,589454,1833474,7232463,1024509,2058475,20233634,39133940,5218399,891546,43460793,274230,158483
Himachal Pradesh,2011-12,1162627,673402,115315,368735,5175,28640,1191267,1799826,602408,638216,3040450,456829,357260,99569,300837,1720,169771,0,898,814,163,127471,287346,674894,375875,612783,2708563,6940280,551418,219713,7271985,69010,105376
Himachal Pradesh,2012-13,1244328,742067,119462,377092,5707,28187,1272514,1924071,605273,675541,3204885,475495,376793,98702,328513,1830,195694,0,1520,1023,165,128281,312147,747653,404423,666938,2935168,7412568,573528,247669,7738427,69620,111152
Himachal Pradesh,2013-14,1371209,870435,111432,382790,6552,24215,1395424,2052197,646998,723125,3422320,507916,411495,96421,405449,2142,245464,0,1277,1072,106,155387,304420,815871,400849,676687,3111193,7928936,583922,228190,8284669,70230,117965
Himachal Pradesh,2014-15,1303842,791702,110068,394762,7309,25830,1329672,2238899,689563,761455,3689917,521467,417210,104257,489411,2159,303945,0,3487,1094,112,178614,331491,916883,461615,776900,3497767,8517357,624907,239100,8903164,70840,125680
Jammu & Kashmir,2011-12,1306347,795339,344125,134536,32348,32931,1339278,797560,616233,652780,2066574,667074,590434,76640,471747,12315,344034,0,7900,626,0,106872,226052,948348,1127470,629362,4070053,7475905,551520,202038,7825387,126520,61851
Jammu & Kashmir,2012-13,1225277,709338,342655,140888,32397,40571,1265848,743851,731523,639620,2114994,751739,678746,72994,518923,13631,377597,0,8573,687,0,118435,258493,985841,1135766,643987,4294749,7675591,611426,235519,8051498,128450,62682
Jammu & Kashmir,2013-14,1362364,851796,332148,146110,32311,22719,1385083,760705,755985,703329,2220019,787412,718378,69033,578868,14701,406720,0,9301,740,0,147406,313041,1037646,1060599,735173,4512739,8117841,651512,216339,8553014,130410,65586
Jammu & Kashmir,2014-15,1141886,561700,396709,150687,32790,22365,1164252,789800,766151,622151,2178102,748560,679391,69169,629087,15375,436912,0,9719,796,0,166287,357590,1093776,1115436,793239,4737689,8080042,643293,196592,8526743,132390,64406
Jammu & Kashmir,2015-16,1405548,708567,508584,154622,33775,42428,1447976,793309,805997,661066,2260371,839783,780980,58803,818257,16463,605374,0,13920,1106,0,181394,374494,1145673,1288772,830177,5297155,9005503,783697,192686,9596514,134410,71397
Jharkhand,2011-12,2233546,1342099,477585,357560,56302,1620374,3853920,3016583,241235,1439526,4697344,1152143,1065983,86160,975954,297906,458247,0,1373,22315,384,195729,414386,1101151,981782,736279,5361695,13912959,1511500,332700,15091759,333020,45318
Jharkhand,2012-13,2364954,1498008,445735,361880,59331,1730483,4095437,3614824,286345,1344315,5245484,1287305,1184361,102944,1076288,345399,490939,0,1285,25425,369,212871,453306,1189599,859075,824103,5689676,15030597,1697187,402757,16325027,338480,48230
Jharkhand,2013-14,2321286,1430467,461145,365294,64380,1720631,4041917,3356361,291006,1484303,5131670,1400566,1298228,102338,1180454,374927,535722,0,2256,18495,332,248722,466489,1249340,801042,900892,5998783,15172370,1751335,342088,16581617,344020,48200
Jharkhand,2014-15,2433756,1526077,475380,366931,65368,1983916,4417672,3716292,292750,1523709,5532751,1706315,1576790,129525,1259298,403702,556658,0,5754,14940,261,277983,504239,1432194,891318,1106486,6899850,16850273,2153530,354691,18649112,349660,53335
Jharkhand,2015-16,2739271,1771414,502000,394614,71243,2141761,4881032,4181247,329192,1691220,6201659,2104622,1943220,161402,1467070,470865,643061,0,10098,14223,251,328572,554627,1690618,922459,1292786,8032182,19114873,2153530,354691,20913712,355380,58849
Karnatka,2011-12,7554868,5339456,1349662,593458,272293,450254,8005123,9713888,1082882,5033145,15829915,6044367,4957019,1087348,3351079,202215,2195731,26907,37365,47206,27642,814013,2879395,14366759,1488762,3256051,31386413,55221451,7037506,1881201,60377756,614820,98204
Karnatka,2012-13,7169531,4919527,1407783,576359,265862,391983,7561514,10355690,1057959,4772392,16186041,6441848,5340550,1101298,3641284,229623,2395683,23957,64131,37663,29197,861029,3169705,16384561,1666149,3548367,34851914,58599469,7597834,2076139,64121164,621510,103170
Karnatka,2013-14,7684580,5394780,1451497,560553,277749,559635,8244214,10879255,1116531,5381668,17377453,7095858,5982747,1113111,3927578,213140,2574544,19596,49161,38953,29948,1002236,3486541,18568176,1796173,3794889,38669215,64290883,8374096,1802699,70862280,628270,112790
Karnatka,2014-15,7985711,5605170,1519992,549852,310698,733907,8719619,11713701,1214271,5370015,18297988,7215196,6036006,1179189,4470649,224736,2875764,20075,142786,46005,34435,1126847,3914422,19722393,1843880,4127369,41293908,68311515,9315850,1599153,76028212,635100,119711
Karnatka,2015-16,7288005,4870125,1578000,544407,295472,616758,7904762,12468837,1222016,5662813,19353665,7603849,6327017,1276832,5080087,277479,3165985,19992,190191,51899,37174,1337366,4176534,22265379,1847337,4617349,45590535,72848963,10229578,1523996,81554545,642010,127030
Kerala,2011-12,4837594,2904593,1125351,430286,377363,272483,5110077,3420404,467898,5308794,9197095,5321692,4732163,589529,2797970,98140,2001208,28281,26891,61793,3317,578340,1430848,4220948,1585585,3965096,19322139,33629311,3407148,631670,36404789,335014.83,108666
