State_UT,Year,"Agriculture, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Primary,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,Secondary,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration,Other services,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.)
Andaman & Nicobar Islands,2011-12,59736.99301,26564.66046,13672.78475,4043.848308,15455.69949,2867.168317,62604.16133,6333.782923,15924.13755,53695.09916,75953.01963,33936.69182,31581.20328,2355.488538,46482.01329,NA,14799.88145,6654.088885,2143.075823,18357.31275,24.865,4502.789372,12774.45279,32303.74734,74782.81952,64942.0088,265221.7336,403778.9145,4416,10328,397866.9145,3860,103074
Puducherry,2015-16,96667,30166,39106,2747,24648,31984,128651,580705,25071,281870,887646,209983,175804,34179,83804,257,45813,3373,0,1302,27,33032,69835,230409,80351,250929,925311,1941608,291858,32756,2200710,14070,156412
Puducherry,2016-17,105813,35204,41632,3050,25927,35797,141610,594605,25155,297855,917615,250845,212294,38551,93038,259,52730,3478,0,1656,35,34880,75854,263247,82723,272801,1038524,2097733,289400,21523,2365610,14450,163710
Punjab,2011-12,7816825,5007937,2034580,715707,58601,3682,7820507,3750728,714903,1978423,6444054,2532467,2371685,160781,1321324,190402,625062,0,2464,32147,48043,423205,1464304,2274674,1269455,2250644,11112868,25377429,2192500,907100,26662829,279547,95379
Punjab,2012-13,7886831,5014188,2109779,703349,59514,1988,7888818,3892533,752950,1942098,6587582,2758214,2590152,168062,1463689,228801,668665,0,4344,34791,86001,441087,1552557,2448099,1396131,2445027,12063717,26540116,2488956,946787,28082285,283207,99158
Punjab,2013-14,8173474,5199614,2221316,690100,62444,7651,8181124,4072839,781504,1974967,6829311,3007122,2831263,175859,1544319,215504,727773,0,3520,37875,59263,500384,1642959,2586753,1448010,2671396,12900559,27910993,2737963,790825,29858131,286916,104066
Punjab,2014-15,7895027,4865022,2286318,674784,68903,8259,7903285,4261467,829800,1983526,7074793,3336614,3152331,184282,1656384,216504,790467,0,3823,41137,63983,540470,1750302,2784397,1555265,2970631,14053593,29031671,3022224,726302,31327592,290673,107776
Rajasthan,2011-12,11910650,7346942,3113617,1416986,33105,1841530,13752181,6666606,763271,4359171,11789049,4374625,4097894,276731,2312809,240962,1410655,0,6698,31956,10113,612425,1364042,4133721,1467926,2481856,16134979,41676209,3395875,1425555,43646529,691240,63142
Rajasthan,2012-13,12263755,7565947,3259521,1402313,35974,3229375,15493129,5362722,806148,4269383,10438253,4746079,4475926,270153,2614757,321371,1558115,0,12105,35407,10008,677751,1464904,4514601,1463710,2672759,17476809,43408191,3872933,1782397,45498727,701220,64885
Rajasthan,2013-14,12994576,8092550,3471129,1392354,38544,3278647,16273224,5549813,815942,4391972,10757727,5163638,4894882,268756,2934913,372834,1682212,0,9376,38441,11588,820462,1572619,4728067,1704552,2880481,18984269,46015220,4097923,1852675,48260468,711340,67844
Rajasthan,2014-15,12877970,7290396,4138540,1398176,50859,3503949,16381919,5882925,891592,4585218,11359735,5701453,5424445,277008,3245692,396815,1790954,0,11617,41060,12957,992290,1670991,5091714,1967731,3341088,21018669,48760324,4427659,1978532,51209451,721610,70966
Sikkim,2011-12,90137,78207,7627,4017,287,800,90937,430623,186623,67095,684341,31446,26677,4769,28365,0,21351,0,0,0,0,7014,16521,58394,74027,105179,313932,1089210,40600,13300,1116510,6140,181842
Sikkim,2012-13,93361,81638,7400,4007,316,850,94210,431783,171439,63127,666349,50935,46229,4706,33784,0,26695,0,0,0,0,7089,17341,59636,79860,106068,347624,1108183,49305,15368,1142121,6210,183916
Sikkim,2013-14,96740,83575,8932,3884,349,1080,97820,466812,164249,66590,697651,60934,56182,4752,37525,0,28349,0,0,0,0,9176,18238,61883,83802,107405,369787,1165257,60796,14649,1211405,6270,193207
Sikkim,2014-15,98080,84064,9754,3878,385,1130,99210,477885,186015,70861,734761,61143,56202,4941,40374,0,30050,0,0,0,0,10324,19275,64955,104101,120948,410796,1244767,58353,14871,1288249,6330,203515
Sikkim,2015-16,101009,86122,10630,3833,424,1273,102282,502937,198340,75077,776355,67249,61815,5434,45583,0,33778,0,0,0,0,11804,20292,67791,116954,129336,447204,1325841,62153,15840,1372154,6400,214399
